text,label
her yeni gün bir mutluluk,Happy
gece kimsenin olmadığı sokaklardan geçerken çok korkarım,Fear
gerçekleşemeyen hayaller,Sadness
arkadaş kaybetmek beni üzüyor,Sadness
insanların çıkarcı olmalarından tiksiniyorum,Disgust
hiç beklemediğim anda sürprizle karşılaşmak beni şaşırtır,Surprise
Ailemle tatile çıktığımda çok sevindim.,Happy
Rüyamda babamın öldüğünü gördüğümde çok korkmuştum.,Fear
Daha taksiti bitmemiş bilgisayarımı ben uyurken otobüsten çalınmasına çok öfkelendim.,Anger
Annemin üzüldüğünü gördüğümde üzülüyorum.,Sadness
Yalan söylenmesinden tiksiniyorum.,Disgust
Lise arkadaşımın evlendiğini gördüğümde şoka uğradım.,Surprise
Derslerin hepsini istediğim şekilde verince çok sevindim.,Happy
Rüyalar beni çok korkutuyor.,Fear
İnatçı insanlarla tartışmak beni çok sinirlendiriyor.,Anger
Fenerbahçe'nin yenilmesi içimi acıtıyor.,Sadness
Yemekten kıl çıkması beni öldürüyor.,Disgust
Geçerim dediğim dersten kalma durumuna gelmem beni çok şaşırtıyor.,Surprise
"Scuba yaptığım zaman mutlu olurum.
      Okulda ders iptal olduğu zaman mutlu olurum.",Happy
"Doğada zehirli bir hayvan tarafından ısırılmaktan korku duyarım.
      Pisi pisine ölmekten korku duyarım.",Fear
Mesajlarımın görülüp cevap verilmemesine öfke duyarım.,Anger
Çocukken sahip olduğum köpek aniden öldüğünde çok üzüldüm.,Sadness
Köpek sahibi insanların köpeklerini dışarı çıkarmamasından tiksiniyorum.,Disgust
Eski bir arkadaşımla uzun süreden sonra karşılaşınca şaşırırım.,Surprise
herhangi bir dersi CC üstü bi notla geçersem mutlu oluyorum,Happy
herhangi bir dersten DD altı bir notla kalmaktan korkuyorum,Fear
herhangi bir dersten DD altı bir notla kalırsam öfkeleniyorum,Anger
herhangi bir dersten DD altı bir notla kalırsam üzülüyorum,Sadness
herhangi bir dersten DD altı bir notla bırakan hocadan tiksiniyorum,Disgust
herhangi bir dersi CC üstü bir notla geçersem şaşırıyorum,Surprise
bir hanım arkadaşımızla 45 dakika süren zorlu bir spor müsabakasını galibiyetle kapayınca anlık bir mutluluk yaşadım.,Happy
"en büyük korkum korkunun kendisidir. bence bu çok asilce, peki ya sizce?",Fear
arkadaşım kolamın içerisine mentos atıp kaçtığında ciddi manada köpürmüştüm.,Anger
"digimon da wizardmon un öldüğü sahnede adeta içimden bir şeyler kopmuş, yüreğimden sonsuzluk diyarına gemiler kalkmıştı.",Sadness
"ne zaman küçük bir sinek görsem beni tiksindirir, midemi bulandırır.",Disgust
arkadaşım cinsiyetim hakkında yanılmış. bu beni çok şaşırttı.,Surprise
Özlediğim biriyle görüşmek,Happy
Karşıdan karşıya geçerken otobüsü gördüğümde korkmuştum,Fear
Kandırıldım,Anger
Geçmişte kaçırdığım fırsatlar beni üzüyor,Sadness
Bir korku filminin afişi,Fear
Uzun zamandır görmediğim kuzenimin yürüdüğünü görünce,Happy
Annem kolyenin yenisini alınca çok mutlu oldum.,Happy
Babam hastahaneye kaldırılınca ona bir şey olursa diye çok korktum.,Fear
Benim hakkımda yalan söylendiğini duyunca çok sinirlendim.,Anger
Kendi paralarımı biriktirip aldığım altın kolyemi kaybedince çok üzüldüm.,Sadness
Otobüsteki adamın burnunu karıştırdığını görünce midem bulandı.,Disgust
Dom sınavına o kadar çalıştıktan sonra kötü geçtiğini görünce inanamadım.,Surprise
DOM Lab'ı erken bitti.,Happy
Lab sorusunu yapamayacağım diye çok korktum.,Fear
Sabah servise binerken önüme kaynak yapmasınlar artık.,Anger
Kayahan'ın vefatı beni derinden etkiledi.,Sadness
Dersler bitince mutlu oluyorum,Happy
Kopya çeker de yakalanırsam diye çok korktum,Fear
Dom ödevi verdiklerinde çok sinirlendim,Anger
Ödevin zor olduğunu görünce öfke yerini hüzne bıraktı,Sadness
100 alanları görünce tiksiniyorum,Disgust
ödevden 100 alınca çok şaşırdım,Surprise
yeğenlerim benim mutluluk kaynağımdır. bana dayı dediklerinde bütün dünya benim olur.,Happy
ablamlar kaza yaptığında çok korktum.,Fear
bayrağıma ve milli değerlerimden birine kötü söz söylendiğinde.,Anger
domatesten tiksiniyorum .,Disgust
yazdığım sallama kod çalışınca ağzım açık kaldı.,Surprise
sınavlardan iyi notlar aldığımda ya da gerçekten insanlara bir yararım dokunduğunda mutlu olurum.,Happy
eve hırsız girdikten sonra evde tek kaldığım için geceleri ışık açık uyuyorum.,Fear
"otobüste değil ama bayram dönüşü eve hırsız girdiğinde, hem bir takım şeyleri aldığı, hem de polisin bir sürü zamanımı aldığı için çok öfkelenmiştim",Anger
"civciv, balık ve benzeri hangi hayvan ölürse ölsüm çok üzüldüm. bir süre sonra hayvan almamaya ve bakmamaya başladım. Ölmelerini kaldıramıyorum hiçbir şekilde",Sadness
ikisinden de tiksinmiyorum,Disgust
Galatasaray'ın galibiyetine çok mutlu oluyorum,Happy
Eskiden gece tek başıma karanlıkta korku filmi izlediğimde çok korkardım.,Fear
İddaa kuponum tek maçtan yatınca çok öfkeleniyorum.,Anger
Dedem vefat ettiğinde çok üzülmüştüm.,Sadness
Evde veya arabada sigara içilmesinden nefret ediyorum.,Disgust
Hiç ummadığım bir yerde uzun zamandır görüşmediğim arkadaşımla karşılaştığımda şaşırıyorum.,Surprise
Ödevi tamamlamak,Happy
Ödevden düşük almak,Sadness
Ödevde yapamadığım şeyin tekrar etmesi,Anger
Kuşumun öldüğü zaman,Sadness
Hocamızın dersi erken bitirmesi,Happy
uyuduğum zamanlar.,Happy
ödevi kaydetmediğimi düşündüğüm an.,Fear
haksızlığa uğrayan birini gördüğümde .,Sadness
okula her gün bir buçuk saatte gelmek.,Anger
yere çöp atan insanlardan.,Disgust
Evime giderken mutlu oluyorum.,Happy
Fizik vizem açıklanırken kalbim deli gibi atıyor.,Fear
Soru sormak için hocaya gittiğimde oyun oynadığını söylediğinde öfkelendim,Anger
Evimden ayrılırken üzülüyorum.,Sadness
Oda arkadaşımın bütün gece horlaması,Anger
Cebimde geçen kıştan 50 lira bulunca şaşırdım.,Surprise
Ödevler projeler bitti.,Happy
memlekete giderken kaza yaptık çok ürkütücüydü.,Fear
projemi yetiştiremedim.,Sadness
iyi beklediğim sınav kötü geldi.,Surprise
Yurdun pisliğinden bıktım.,Disgust
düşük beklediğim sınavın sonucu yüksek geldi.,Happy
sevdiklerimle hep beraber olduğum anlarda mutlu olurum.,Happy
üniversite sınavının sonucunu beklerken korktum.,Fear
ahmak yerine konduğumda öfkeli olurum.,Anger
kız arkadaşımdan ayrıldıktan sonra üzüntülü olurum.,Sadness
yemeğimin içinde yüzen sinek beni tiksindirir.,Disgust
uzun zamandır göremediğim arkadaşımı gördüğüm zaman şaşırmıştım.,Surprise
cuma akşamları eve geldiğimde.,Happy
yanlış ödevi yüklediğimi fark ettiğim an.,Fear
proje bitince ödev. ödev bitince proje verilmesi.,Anger
otobüsü kaçırmak.,Fear
okulun lavabolarından tiksiniyorum.,Disgust
Gs UEFA kupasını aldığında çok mutlu olmuştum.,Happy
"Karşımda üç köpek görünce biraz şaşırdım ama büyük bir sıkıntı yoktu, ta ki son hızla beni kovalamaya başlamalarına kadar...",Fear
Fenerbahçe şike yapınca çok öfkelendim.,Anger
Dom ödevini gördükten sonra çok üzüldüm...,Sadness
"Evime bir misafir geldiğinde, 'Sigara içebilir miyim?' sorusunu sormasından hoşlanmıyorum.",Anger
Lisede İngilizce sınavından 100 alınca çok şaşırmıştım.,Surprise
yani üniversiteyi kazandığımda tabii ki de,Happy
küçükken arkadaşlarla eski içinde kimse yaşamayan bir konağa girmiştik. ama aslında orada bir evsiz yaşıyormuş. Tam göremedim ama elinde orak gibi bir şeyle bizi kovalamıştı. Altıma etmiştim,Fear
küçükken tavşanım vardı. Evde beslerdim. Bağa gittiğimde doğaya bırakırdım gezsin tozsun diye ama akşam vakti eve geri dönecekken çok zor geri yakalardım hep benden kaçardı. çok üzülürdüm.,Sadness
ilk kez dayı olmuştum hayretler içerisinde yeğenime sarıldım,Happy
ilk kez dişçiye gittiğimde çok korkmuştum,Fear
Her zamanki günlerden biriydi otobüse binmiştim ancak inerken birde baktım ki cüzdanım çalınmış çok öfkelendim,Anger
10 yaşındayken karabaş adında bir köpeğim vardı karşıdan karşıya geçerken araba çarptı ve öldü,Sadness
evimde ben de dahil sigara içemem ve içmelerine izin vermem. Ancak bir gün misafirlerden birisi geldi ve sigara içebilir miyim dedi. hayır diyemedim yakın akrabaydı ama tiksiniyordum.,Disgust
oğlum askerdeydi ve daha 6 ay gelmesini beklemiyordum. Ancak bir sabah kapı çaldı ve bir de baktım ki karşımda oğlum,Surprise
"kaç aydır amaçladığım bir hedefe yaklaşınca,ulaşmaya ramak kalınca kendimi huzurlu ve mutlu hissederim",Happy
"Hiçbir çorabımın yıkalı olmadığını fark edip,kalan tek çorabın diğer çiftinin olmadığını öğrendiğimdeki korku dolu an",Fear
"Önümdeki dolmuş şoförü,bencilce sinyal vermeden durduğunda hissettiğim  öfke.",Anger
ailemi kaç ay görmeyince duyduğum hüzünle dolu özlem duygusu,Sadness
bir insanın doymak bilmeyen sonsuz egosuyla övünerek konuşması,Anger
aldığım notun beklemediğimden düşük çıkması,Surprise
uzun süredir görüşmediğim ailem ile bir raya geldiğimde çok sevindim,Happy
en son ne zaman korku hissettiğimi hatırlamıyorum,Fear
daha önce verilmiş olan söz unutulduğunda çok öfkelendim,Anger
kaybettiğim yakınlarımı düşündüğümde büyük üzüntü hissediyorum,Sadness
Bütün gün uyuyup hiçbir şey yapmamaktan tiksiniyorum,Disgust
Yıllardır görmediğim arkadaşım ile karşılaştığımda şaşırdım,Surprise
Şu anda okumakta olduğum üniversiteyi kazandığımı öğrenince çok sevinmiştim,Happy
